id,num_of_passes,diffTime,average
1714,100,3136,3163
1715,100,3135,3163
1716,100,3120,3163
1717,100,3120,3163
1718,100,3135,3163
1719,100,3166,3163
1720,100,3195,3163
1721,100,3166,3163
1722,100,3120,3163
1723,100,3120,3163
1724,100,3181,3163
1725,100,3165,3163
1726,100,3076,3162
1727,100,3090,3162
1728,100,3090,3162
1729,100,3076,3162
1730,100,3135,3162
1731,100,3166,3162
1732,100,3105,3162
1733,100,3150,3162
1734,100,3151,3162
1735,100,3135,3162
1736,100,3136,3162
1737,100,3165,3162
1738,100,3150,3162
1739,100,3165,3162
1740,100,3165,3162
1741,100,3136,3162
1742,100,3165,3162
1743,100,3121,3162
1744,100,3105,3162
1745,100,3060,3162
1746,100,3046,3162
1747,100,3150,3162
1748,100,3121,3162
1749,100,3165,3162
1750,100,3210,3162
1751,100,3196,3162
1752,100,3135,3162
1753,100,3166,3162
1754,100,3120,3162
1755,100,3105,3162
1756,100,3151,3162
1757,100,3150,3162
1758,100,3121,3162
1759,100,3135,3162
1760,100,3105,3162
1761,100,3150,3162
1762,100,3120,3162
1763,100,3121,3162
1764,100,3120,3162
1765,100,3046,3162
1766,100,3195,3162
1767,100,3150,3162
1768,100,3181,3162
1769,100,3165,3162
1770,100,3136,3162
1771,100,3180,3162
1772,100,3150,3162
1773,100,3136,3162
1774,100,3105,3162
1775,100,3076,3162
1776,100,3165,3162
1777,100,3150,3162
1778,100,3181,3162
1779,100,3120,3162
1780,100,3046,3162
1781,100,3165,3162
1782,100,3195,3162
1783,100,3165,3162
1784,100,3120,3162
1785,100,3091,3162
1786,100,3150,3162
1787,100,3151,3162
1788,100,3165,3162
1789,100,3105,3162
1790,100,3136,3162
1791,100,3180,3162
1792,100,3136,3162
1793,100,3105,3161
1794,100,3075,3161
1795,100,3181,3161
1796,100,3105,3161
1797,100,3151,3161
1798,100,3105,3161
1799,100,3105,3161
1800,100,3166,3161
1801,100,3180,3161
1802,100,3241,3161
1803,100,3285,3161
1804,100,3165,3161
1805,100,3120,3161
1806,100,3120,3161
1807,100,3136,3161
1808,100,3135,3161
1809,100,3196,3161
1810,100,3120,3161
1811,100,3120,3161
1812,100,3136,3161
1813,100,3135,3161
1814,100,3106,3161
1815,100,3135,3161
1816,100,3180,3161
1817,100,3106,3161
1818,100,3150,3161
1819,100,3226,3161
1820,100,3195,3161
1821,100,3210,3161
1822,100,3240,3161
1823,100,3195,3161
1824,100,3121,3161
1825,100,3165,3161
1826,100,3076,3161
1827,100,3075,3161
1828,100,3090,3161
1829,100,3031,3161
1830,100,3135,3161
1831,100,3106,3161
1832,100,3150,3161
1833,100,3075,3161
1834,100,3106,3161
1835,100,3180,3161
1836,100,3151,3161
1837,100,3210,3161
1838,100,3225,3161
1839,100,3181,3161
1840,100,3135,3161
1841,100,3121,3161
1842,100,3135,3161
1843,100,3075,3161
1844,100,3075,3161
1845,100,3195,3161
1846,100,3136,3161
1847,100,3090,3161
1848,100,3136,3161
1849,100,3105,3161
1850,100,3090,3161
1851,100,3121,3161
1852,100,3105,3161
1853,100,3091,3161
1854,100,3150,3161
1855,100,3150,3161
1856,100,3166,3161
1857,100,3210,3161
1858,100,3226,3161
1859,100,3180,3161
1860,100,3195,3161
1861,100,3121,3161
1862,100,3090,3161
1863,100,3061,3161
1864,100,3105,3161
1865,100,3060,3161
1866,100,3120,3161
1867,100,3120,3161
1868,100,3151,3161
1869,100,3105,3161
